development,spectrometer,tissue,identifier,precursor_charge,precursor_mz,sequence,prop_tot,prop_labelled
Adult,Elite,Adrenalgland,359022,359022,359022,189978,1.4365201052476584,52.915420224944434
Adult,Elite,Bcells,814282,814282,814282,334483,3.2581080388981007,41.077047018109205
Adult,Elite,CD4Tcells,306409,306409,306409,148075,1.2260047822384974,48.32593037410781
Adult,Elite,CD8Tcells,800786,800786,800786,446636,3.204107795624924,55.77470135591781
Adult,Elite,Colon,705131,705131,705131,294449,2.821372668898805,41.75805630443137
Adult,Elite,Esophagus,312721,312721,312721,56325,1.2512603791220398,18.011262435205822
Adult,Elite,Frontalcortex,1140075,1140075,1140075,449479,4.561672150983016,39.42538868056926
Adult,Elite,Gallbladder,774087,774087,774087,298742,3.0972796617222462,38.592819670140436
Adult,Elite,Heart,1003054,1003054,1003054,350334,4.013423237709903,34.92673375511189
Adult,Elite,Kidney,264067,264067,264067,98921,1.0565858210149612,37.4605687193023
Adult,Elite,Liver,702100,702100,702100,289910,2.8092450209022872,41.29183876940607
Adult,Elite,Lung,309718,309718,309718,152957,1.2392447648252596,49.38589297360825
Adult,Elite,Monocytes,334011,334011,334011,158488,1.3364460029576897,47.449934283601436
Adult,Elite,NKcells,916123,916123,916123,347418,3.6655946108589466,37.92263702581422
Adult,Elite,Ovary,714576,714576,714576,396327,2.859164036542192,55.46323973936992
Adult,Elite,Pancreas,513506,513506,513506,235611,2.0546420363245264,45.88281344327038
Adult,Elite,Platelets,461304,461304,461304,174590,1.8457712079793605,37.84705963963027
Adult,Elite,Prostate,819262,819262,819262,311867,3.2780340326370174,38.06682111461291
Adult,Elite,Rectum,685409,685409,685409,300801,2.74246093224842,43.88635106921561
Adult,Elite,Retina,702434,702434,702434,343524,2.810581422892006,48.90480813855822
Adult,Elite,Spinalcord,726996,726996,726996,299092,2.908858984782623,41.140804075950896
Adult,Elite,Testis,690291,690291,690291,376717,2.7619948080382577,54.57365082262409
Adult,Elite,Urinarybladder,1180665,1180665,1180665,448332,4.724081003565873,37.97283734166762
Adult,Velos,Adrenalgland,285106,285106,285106,118461,1.1407671427565411,41.549809544520286
Adult,Velos,Bcells,180184,180184,180184,26553,0.7209528626210765,14.736602584025219
Adult,Velos,CD4Tcells,397781,397781,397781,190521,1.5916027541084357,47.895952798147725
Adult,Velos,CD8Tcells,264178,264178,264178,77208,1.0570299546103468,29.22574930539258
Adult,Velos,Esophagus,368350,368350,368350,151620,1.4738433320742879,41.16193837382924
Adult,Velos,Heart,426086,426086,426086,136619,1.7048568209317363,32.063714836910854
Adult,Velos,Kidney,439253,439253,439253,193167,1.7575406682330046,43.97625058906826
Adult,Velos,Liver,389119,389119,389119,132634,1.5569443288541194,34.08571670877033
Adult,Velos,Lung,388186,388186,388186,117751,1.553211205930744,30.333654485221
Adult,Velos,Monocytes,327734,327734,327734,141492,1.3113304481988182,43.17281697962372
Adult,Velos,NKcells,265060,265060,265060,44477,1.0605590161520584,16.779974345431224
Adult,Velos,Platelets,389890,389890,389890,149476,1.5600292568004457,38.33799276719075
Adult,Velos,Retina,181080,181080,181080,76606,0.7245379410126566,42.30505853766291
Fetal,Elite,Brain,358379,358379,358379,120481,1.4339473313572724,33.618320269881885
Fetal,Elite,Gut,868359,868359,868359,257598,3.4744811239220756,29.66491969335263
Fetal,Elite,Heart,705299,705299,705299,362702,2.822044871097226,51.42528204350212
Fetal,Elite,Liver,806805,806805,806805,347508,3.228191039864791,43.07211779798092
Fetal,Elite,Ovary,277466,277466,277466,156034,1.110197947542621,56.235358566454984
Fetal,Elite,Placenta,294328,294328,294328,79306,1.1776662420055952,26.944769101138867
Fetal,Elite,Testis,420525,420525,420525,185320,1.6826061279232793,44.068723619285414
Fetal,Velos,Brain,218768,218768,218768,122162,0.8753353008584982,55.84089080669934
Fetal,Velos,Gut,235402,235402,235402,110201,0.9418913209093296,46.81396079897367
Fetal,Velos,Heart,405380,405380,405380,217642,1.6220078999763128,53.68839113917806
Fetal,Velos,Liver,180825,180825,180825,109922,0.7235176341043386,60.78916079081985
Fetal,Velos,Ovary,361595,361595,361595,197416,1.4468152020127654,54.59588766437589
Fetal,Velos,Placenta,193939,193939,193939,97969,0.775989417616819,50.51536823434173
Fetal,Velos,Testis,127374,127374,127374,63333,0.509649302510195,49.722078289132796
